Policy_ID,Policy_Text_EN,Policy_Text_FR,Policy_Text_ES,Summarized_Text
POL-1000,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters."
POL-1001,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.
POL-1002,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters."
POL-1003,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.
POL-1004,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.
POL-1005,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.
POL-1006,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.
POL-1007,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.
POL-1008,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.
POL-1009,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.
POL-1010,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters."
POL-1011,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.
POL-1012,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters."
POL-1013,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.
POL-1014,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.
POL-1015,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.
POL-1016,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.
POL-1017,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.
POL-1018,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.
POL-1019,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.
POL-1020,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters."
POL-1021,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.
POL-1022,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters."
POL-1023,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.
POL-1024,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.
POL-1025,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.
POL-1026,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.
POL-1027,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.
POL-1028,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.
POL-1029,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.
POL-1030,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters."
POL-1031,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.
POL-1032,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters."
POL-1033,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.
POL-1034,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.
POL-1035,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.
POL-1036,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.
POL-1037,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.
POL-1038,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.
POL-1039,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.
POL-1040,"This policy covers damages to your vehicle due to accidents, theft, and natural disasters.","Cette police couvre les dommages à votre véhicule dus aux accidents, au vol et aux catastrophes naturelles.","Esta póliza cubre daños a su vehículo por accidentes, robos y desastres naturales.","Covers vehicle damages from accidents, theft, and disasters."
POL-1041,Comprehensive health insurance policy covering hospitalization and outpatient treatments.,Police d'assurance maladie complète couvrant l'hospitalisation et les traitements ambulatoires.,Póliza de seguro de salud integral que cubre hospitalización y tratamientos ambulatorios.,Health insurance covering hospitalization and outpatient care.
POL-1042,"Home insurance protecting against fire, theft, and natural calamities.","Assurance habitation protégeant contre les incendies, le vol et les calamités naturelles.","Seguro de hogar que protege contra incendios, robos y calamidades naturales.","Home insurance for fire, theft, and natural disasters."
POL-1043,Travel insurance providing medical and trip cancellation coverage.,Assurance voyage offrant une couverture médicale et annulation de voyage.,Seguro de viaje que proporciona cobertura médica y cancelación de viaje.,Travel insurance with medical and trip cancellation coverage.
POL-1044,Life insurance ensuring financial security for your family.,Assurance vie garantissant la sécurité financière de votre famille.,Seguro de vida que garantiza la seguridad financiera de su familia.,Life insurance for financial security of dependents.
POL-1045,Business insurance covering property damage and liability risks.,Assurance entreprise couvrant les dommages matériels et les risques de responsabilité.,Seguro empresarial que cubre daños a la propiedad y riesgos de responsabilidad.,Business insurance covering property and liability risks.
POL-1046,Personal accident insurance offering coverage for disabilities.,Assurance accident personnel offrant une couverture pour les invalidités.,Seguro de accidentes personales que ofrece cobertura por discapacidades.,Personal accident insurance for disabilities.
POL-1047,Cyber insurance protecting against digital fraud and data breaches.,Assurance cyber protégeant contre la fraude numérique et les violations de données.,Seguro cibernético que protege contra fraudes digitales y violaciones de datos.,Cyber insurance against digital fraud and data breaches.
POL-1048,Pet insurance covering veterinary expenses for illnesses and accidents.,Assurance pour animaux couvrant les frais vétérinaires en cas de maladie et d'accident.,Seguro para mascotas que cubre gastos veterinarios por enfermedades y accidentes.,Pet insurance covering vet expenses.
POL-1049,Marine insurance covering losses related to ships and cargo.,Assurance maritime couvrant les pertes liées aux navires et au fret.,Seguro marítimo que cubre pérdidas relacionadas con barcos y carga.,Marine insurance for ship and cargo losses.
